,,,,,,,,#success,#errors,Bottom,ML,,Top,AL,,Ripple var,,,Input var,,,Comments,#electrode connector,,,,,,,,LabVIEW,,
,Date,path,Tank,time,Block,Task,channels,#success,#errors,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,1-32,33-64,65-96,,,,,,,,sorter STD,filter,,,
49,"October 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011, ,1,BAD,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
49,"October 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
49,"October 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011, ,3,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
49,"October 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011,,4,VOC,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
49,"October 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011,,5,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
49,"October 11, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011,,6,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,double,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
50,"October 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171012, ,1,Textures,96,91,397,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,New sound card,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
50,"October 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
50,"October 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011, ,3,VOC,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
50,"October 12, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171011, ,4,CLICKS,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
51,"October 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171013, ,1,Clicks,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,3 reps,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
51,"October 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171013, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Double,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
51,"October 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171013, ,3,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
51,"October 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171013, ,4,Clicks,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,z:\Tanks\
51,"October 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171013,,5,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"moved to -3, seems to respond to STRF, and clicks.",32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
51,"October 13, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171013,,6,Clicks,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,3:20 to 3:40 block…,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
52,"October 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171015,,1,Clicks,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Clikcs are ramdomized 10 reps,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
52,"October 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171015,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
52,"October 15, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171015,,3,Clicks,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
53,"October 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171017,,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,1-10 trials tdt wasn't updating display,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
53,"October 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171017,,2,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,11 and after,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
53,"October 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171017,,3,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,double,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
53,"October 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171017,,4,Clicks,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,10,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
53,"October 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171017,,5,sam_noise10,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
53,"October 17, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171017,,6,sam_noise100,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
54,"October 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171018,,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,430 trials,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
54,"October 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171018,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,11 and after,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
54,"October 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171018,,3,VOC,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,double,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
54,"October 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171018,,4,noise@100,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,10,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
54,"October 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171018,,5,noise@100,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,10,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
54,"October 18, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171018,,6,clic_trig,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,10,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,1,BAD,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,no apparent auditory response,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,no apparent auditory response,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,3,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,no apparent auditory response,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,4,STRF,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,moved,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,5,clic_trig,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,no apparent auditory response,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,6,noise 100mod,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,no apparent auditory response,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
55,"October 25, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,7,strf,96,,,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,no apparent auditory response,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
56,"October 26, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171025,,1,BAD,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"no apparent auditory response, didn't record",32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
57,"October 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171027,,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,ch25 eNeu,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
57,"October 27, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171027,,2,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,moved at the beginning,32,64,32,64,96,128,3.5,300-7k,,,z:\Tanks\
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"November 3, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLy-171103,,1,test,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Saved as Sly by mistake,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
58,"November 3, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLy-171103,,2,click_trig,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,56 trial,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
58,"November 3, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLy-171103,,3,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
59,"November 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLY-171107,,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Saved as Sly by mistake,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
59,"November 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLY-171107,,2,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
60,"November 8, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLY-171108,,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
60,"November 8, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SLY-171108,,2,clicks,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
61,"November 16, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171116,,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
62,"November 22, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171122,,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,Seem to be response,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
63,"December 5, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171205,,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
63,"December 5, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171205,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
64,"December 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171207,,1,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
64,"December 7, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171207,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,diff ground,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
65,"December 19, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171219,,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
65,"December 19, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171219,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
66,"December 20, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171220,,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
66,"December 20, 2017",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-171220,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
67,"January 2, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180102,,1,Textures,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
67,"January 2, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180102,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
68,"January 7, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180107,,1,BAD,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
68,"January 7, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180107,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
69,"January 14, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180114,done,1,BAD,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
69,"January 14, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180114,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
69,"January 14, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180114,,3,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
70,"January 24, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180124,,1,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
70,"January 24, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180124,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
71,"January 29, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180129,,1,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
71,"January 29, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180129,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
72,"January 31, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180131,,1,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,from end of microfil to start of guide tube 12.5mm for both electrode,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
72,"January 31, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180131,,2,STRF,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,"606 trials, matlab crashed at Sbad.15.C.NS.1, ",32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
73,"February 7, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180207,,1,Texture,96, , ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,from end of microfil to start of guide tube 12.5mm for both electrode,32,64,32,64,96,128,3.5,300-7k,,,d:\SpikeSortingPipeline\Tanks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
74,"February 12, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180212, ,1,Textures,96,138,484,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2, ,32,64,32,64,96,128,3.5,300-7k, ,,d:\SpikeSortingPipeline\Tanks
74,"February 12, 2018",c:\users\scylla\Desktop\RZ2_192ch\DataTanks,SAM-180212, ,2,STRF,96,, ,RZ2-1,RZ2-1,RZ2-2,RZ2-2,RZ2-2,RZ2-2,xpz5,xpz5,xpz2,xpz2,xpz2,xpz2,,32,64,32,64,96,128,3.5,300-7k, ,,d:\SpikeSortingPipeline\Tanks
